Customer ID,Order City,Order Postal,Order State,Latitude,Longitude
18287,Rock Springs,82901-7321,WY,41.5869,-109.2048
18283,Jackson,83001-9460,WY,43.48,-110.7618
18282,Greybull,82426,WY,44.4892,-108.0562
18281,Evanston,82930-4706,WY,41.268,-110.9633
18280,Cheyenne,82001-7901,WY,41.14,-104.8202
18278,Wheeling,26003-6635,WV,40.064,-80.7209
18277,Shepherdstown,25443-4827,WV,39.4301,-77.8042
18276,Ridgeley,26753-7083,WV,39.6415,-78.7745
18274,Mount Hope,25880-1324,WV,37.8954,-81.1643
18273,Mount Clare,26408-6998,WV,39.19,-80.33
18272,Moundsville,26041-4037,WV,39.9204,-80.7431
18270,Morgantown,26508-8649,WV,39.6295,-79.9559
18269,Morgantown,26508-4276,WV,39.6295,-79.9559
18268,Martinsburg,25404,WV,39.4561,-77.9638
18265,Jumping Branch,25969,WV,37.6576,-80.9765
18263,Fayetteville,25840,WV,38.0531,-81.104
18262,Fairmont,26554-8240,WV,39.4851,-80.1426
18261,Colliers,26035-1500,WV,40.367,-80.5412
18260,Colliers,26035,WV,40.367,-80.5412
18259,Charleston,25387-1201,WV,38.3506,-81.6333
18257,Charleston,25304-1451,WV,38.3506,-81.6333
18256,Chapmanville,25508,WV,37.9737,-82.0174
18255,Sun Prairie,53590,WI,43.1835,-89.2134
18252,Rice Lake,54868,WI,45.5028,-91.7332
18251,Kaukauna,54130,WI,44.278,-88.2721
18250,Weston,54476-1956,WI,,
18249,West Allis,53219-2056,WI,43.0167,-88.007
18248,Wauwatosa,53213-1221,WI,43.0494,-88.0079
18246,Wausau,54401-3972,WI,44.9596,-89.6298
18245,Waunakee,53597,WI,43.1919,-89.4557
18242,Wales,53183,WI,43.0045,-88.3768
18241,Sun Prairie,53590-3830,WI,43.1835,-89.2134
18240,Solon Springs,54873-8132,WI,46.3533,-91.8224
18239,Slinger,53086-9103,WI,43.3334,-88.2858
18237,Schofield,54476-1331,WI,44.9097,-89.6046
18236,Salem,53168,wi,42.5547,-88.1109
18235,Racine,53405-5032,WI,42.7261,-87.7825
18233,Port Washington,53074-1531,WI,43.3872,-87.8756
18232,Pleasant Prairie,53158-3842,WI,42.5523,-87.9314
18231,Platteville,53818-1946,WI,42.7343,-90.4784
18230,Pardeeville,53954-9472,WI,43.5378,-89.3001
18229,Oshkosh,54902-9176,WI,44.0207,-88.5409
18228,Oregon,53575,WI,42.926,-89.3843
18227,Onalaska,54650-2130,WI,43.8831,-91.2344
18226,Oconto Falls,54154-1602,WI,44.8739,-88.1429
18225,Oconomowoc,53066-3475,WI,43.1117,-88.4993
18224,North Fond Du Lac,54937-1219,WI,43.8114,-88.4834
18223,New Berlin,53151-2522,WI,42.9765,-88.109
18222,Neshkoro,54960-8708,WI,43.9658,-89.2176
18221,Neenah,54956-2031,WI,44.1858,-88.4626
18220,Muskego,53150-9607,WI,42.9058,-88.139
18219,Muskego,53150-6204,WI,42.9058,-88.139
18218,Minong,54859-4601,WI,46.0994,-91.8248
18217,Milwaukee,53211-2812,WI,43.0115,-87.9735
18216,Milwaukee,53211,WI,43.0115,-87.9735
18215,Milwaukee,53206,WI,43.0115,-87.9735
18213,Milton,53563,WI,42.7756,-88.944
18212,Middleton,53562-3555,WI,43.1056,-89.5089
18211,Mequon,53092-5531,WI,43.2219,-87.9823
18210,Menasha,54952-9507,WI,44.2022,-88.4465
18209,Medford,54451-9344,WI,45.1389,-90.3461
18205,Mayville,53050,WI,43.4942,-88.5448
18204,Marshfield,54449,WI,44.6689,-90.1718
18203,Manitowoc,54220-9352,WI,44.0886,-87.6576
18202,Manitowoc,54220,WI,44.0886,-87.6576
18200,Malone,53049-1526,WI,43.8603,-88.2815
18198,Madison,53703,WI,43.0748,-89.3838
18196,Madison,53714-3330,WI,43.0748,-89.3838
18194,Madison,53705-1435,WI,43.0748,-89.3838
18193,Madison,53704-2017,WI,43.0748,-89.3838
18192,Madison,53703-2938,WI,43.0748,-89.3838
18191,Madison,53703-1504,WI,43.0748,-89.3838
18190,Lake Geneva,53147-2009,WI,42.5917,-88.4334
18189,Lacrosse,54601,WI,43.8014,-91.2396
18188,La Valle,53941-9430,WI,43.5822,-90.1282
18185,Kewaskum,53040,WI,43.5214,-88.2279
18184,Kenosha,53142-3957,WI,42.5847,-87.8212
18183,Kenosha,53142,WI,42.5847,-87.8212
18181,Hudson,54016,WI,44.9747,-92.7569
18180,Holmen,54636-9230,WI,43.9633,-91.2563
18179,Hiles,54511-8954,WI,,
18178,Hayward,54843-4043,WI,46.013,-91.4849
18177,Greenleaf,54126-9616,WI,44.3136,-88.0957
18176,Green Bay,54311-4509,WI,44.5299,-88.0248
18174,Green Bay,54311,WI,44.5299,-88.0248
18173,Green Bay,54301-2424,WI,44.5299,-88.0248
18172,Green Bay,54301-1044,WI,44.5299,-88.0248
18171,Franklin,53132-8354,WI,42.8886,-88.0384
18170,Franklin,53132-8192,WI,42.8886,-88.0384
18169,Franklin,53132-8016,WI,42.8886,-88.0384
18168,Elkhorn,53121-4530,WI,42.6728,-88.5445
18167,Eau Galle,54737-9562,WI,,
18165,Delavan,53115,WI,42.6331,-88.6437
18164,De Pere,54115-4123,WI,44.4487,-88.0601
18161,Danbury,54830,WI,46.0066,-92.3713
18160,Colby,54421-9775,WI,44.91,-90.3157
18159,Cedarburg,53012-2729,WI,43.2967,-87.9876
18158,Cedarburg,53012,WI,43.2967,-87.9876
18156,Butler,53007-1204,WI,43.1058,-88.0695
18155,Burlington,53105-3603,WI,42.6781,-88.2762
18154,Brookfield,53045-7818,WI,43.0606,-88.1065
18151,Brookfield,53005-1673,WI,43.0606,-88.1065
18150,Birnamwood,54414,WI,44.9333,-89.2096
18149,Birchwood,54817-9013,WI,45.6663,-91.556
18147,Beaver Dam,53916-1246,WI,43.4578,-88.8373
18146,Argyle,53504-9725,WI,42.701,-89.8672
18145,Appleton,54915-7421,WI,44.2611,-88.4068
18144,Appleton,54914-6428,WI,44.2611,-88.4068
18143,Volga,26238-8633,WEST VIRGINIA,39.0784,-80.1354
18142,Yakima,98908-1716,WASHINGTON,46.6016,-120.5108
18141,Vancouver,98685-3870,WASHINGTON,45.6307,-122.6745
18139,Vancouver,98664-3431,WA,45.6307,-122.6745
18138,Vancouver,98664,WA,45.6307,-122.6745
18136,Oak Harbor,98277-7843,WASHINGTON,48.2932,-122.6432
18135,Mount Vernon,98273,WA,48.42,-122.3264
18133,Moses Lake,98837,WA,47.1301,-119.2781
18130,Monroe,98272-1721,WASHINGTON,47.856,-121.9706
18129,Woodinville,98072-9249,WA,47.7546,-122.1589
18127,Woodinville,98072-6446,WA,47.7546,-122.1589
18126,Wenatchee,98801-9159,WA,47.4235,-120.3103
18125,Washougal,98671,WA,45.582,-122.348
18123,Walla Walla,99362,WA,46.065,-118.3303
18122,Veradale,99037-8227,WA,47.656,-117.2016
18121,Vashon,98070-3224,WA,47.4446,-122.459
18120,Vancouver,98662-4720,WA,45.6307,-122.6745
18119,Tukwila,98168,wa,47.4627,-122.2559
18118,Tacoma,98422-3480,WA,47.2496,-122.4399
18117,Tacoma,98406-5824,WA,47.2496,-122.4399
18116,Spokane,99223-6365,WA,47.6589,-117.4247
18114,Spokane,99208-8213,WA,47.6589,-117.4247
18113,Spokane,99206-4437,WA,47.6589,-117.4247
18112,Spokane,99205-7633,WA,47.6589,-117.4247
18110,Spokane,99203-1960,WA,47.6589,-117.4247
18109,Spokane,99201,wa,47.6589,-117.4247
18108,Snohomish,98290-6215,WA,47.918,-122.09
18106,Snohomish,98290-4112,WA,47.918,-122.09
18105,Silverdale,98383-9280,WA,47.6594,-122.6766
18104,Silverdale,98383-3600,WA,47.6594,-122.6766
18102,Shoreline,98133-4705,WA,47.7563,-122.3438
18101,Shelton,98584-7265,WA,47.2151,-123.1007
18099,Sequim,98382-3171,WA,48.0849,-123.1097
18097,Seattle,98199-2540,WA,47.6038,-122.3301
18096,Seattle,98199,WA,47.6038,-122.3301
18095,Seattle,98146-3578,WA,47.6038,-122.3301
18094,Seattle,98146,WA,47.6038,-122.3301
18093,Seattle,98122-4807,WA,47.6038,-122.3301
18092,Seattle,98122-4534,WA,47.6038,-122.3301
18088,Seattle,98121-1453,WA,47.6038,-122.3301
18087,Seattle,98116,WA,47.6038,-122.3301
18086,Seattle,98115-6303,WA,47.6038,-122.3301
18085,Seattle,98112-4828,WA,47.6038,-122.3301
18084,Seattle,98109-5334,WA,47.6038,-122.3301
18082,Seattle,98107,wa,47.6038,-122.3301
18081,Seattle,98106-2403,WA,47.6038,-122.3301
18080,Seattle,98106-2137,WA,47.6038,-122.3301
18079,Seattle,98105-2445,WA,47.6038,-122.3301
18078,Seattle,98104-4084,WA,47.6038,-122.3301
18077,Seattle,98104-2323,WA,47.6038,-122.3301
18075,Seattle,98104-1366,WA,47.6038,-122.3301
18074,Seattle,98103,WA,47.6038,-122.3301
18073,Seattle,98101-4206,WA,47.6038,-122.3301
18072,Seattle,98101-2033,WA,47.6038,-122.3301
18071,Sammamish,98074-6678,WA,47.6088,-122.0423
18069,Renton,98058,WA,47.4799,-122.2034
18068,Renton,98057-2178,WA,47.4799,-122.2034
18067,Renton,98056,WA,47.4799,-122.2034
18066,Redmond,98053-8607,WA,47.6694,-122.1239
18065,Redmond,98053-2028,WA,47.6694,-122.1239
18064,Quil Ceda Village,98271-8085,WA,,
18062,Puyallup,98374,WA,47.1849,-122.2921
18061,Puyallup,98372-5275,WA,47.1849,-122.2921
18059,Poulsbo,98370-9540,WA,47.7391,-122.6393
18058,Port Orchard,98367-8275,WA,47.5316,-122.6384
18056,Point Roberts,98281-9712,WA,48.9854,-123.078
18055,Olympia,98516-6801,WA,47.045,-122.8949
18053,Olympia,98512-9452,WA,47.045,-122.8949
18050,Olalla,98359,wa,47.4305,-122.5429
18048,Nine Mile Falls,99026-9243,WA,47.7757,-117.5461
18045,Mount Vernon,98274-8224,WA,48.42,-122.3264
18044,Mill Creek,98012-8401,WA,47.8601,-122.2043
18043,Mill Creek,98012-4926,WA,47.8601,-122.2043
18042,Maple Falls,98266-7015,WA,48.9243,-122.0771
18041,Lynnwood,98087-8427,WA,47.8279,-122.3054
18040,Lynden,98264-9446,WA,48.9466,-122.4569
18037,Lynden,98264,WA,48.9466,-122.4569
18036,Langley,98260-8018,WA,48.04,-122.4094
18035,Lakewood,98498-6500,WA,47.1718,-122.5185
18034,Lake Stevens,98258-8499,WA,48.0198,-122.0661
18033,La Conner,98257-0839,WA,48.3887,-122.4963
18032,La Center,98629-5409,WA,45.8639,-122.6686
18030,Kirkland,98033-8302,WA,47.686,-122.192
18027,Kirkland,98033,WA,47.686,-122.192
18024,Kent,98030-8894,WA,47.3827,-122.227
18022,Kenmore,98028-3361,WA,47.7573,-122.244
18019,Issaquah,98027-5619,WA,47.5349,-122.0433
18018,Issaquah,98027-3644,WA,47.5349,-122.0433
18017,Indianola,98342,WA,47.7514,-122.5228
18016,Graham,98338,WA,47.0396,-122.2786
18015,Gig Harbor,98332-9626,WA,47.326,-122.5879
18014,Gig Harbor,98332-5503,WA,47.326,-122.5879
18013,Gig Harbor,98332,WA,47.326,-122.5879
18011,Fircrest,98466,WA,47.2317,-122.5143
18010,Everett,98208-3119,WA,47.9673,-122.2014
18009,Everett,98203-2734,WA,47.9673,-122.2014
18008,Enumclaw,98022,WA,47.2048,-121.9916
18006,Edmonds,98026-7305,WA,47.8106,-122.3775
18005,East Wenatchee,98802,WA,47.4157,-120.2931
18004,Duvall,98019-8134,WA,47.7423,-121.9857
18001,Des Moines,98198-8532,WA,47.3988,-122.3099
17999,Colville,99114-2015,WA,48.5466,-117.9055
17997,Chelan,98816,WA,47.841,-120.0165
17995,Chehalis,98532-1606,WA,46.66,-122.9634
17994,Centralia,98531,WA,46.7204,-122.9614
17991,Burlington,98233-2910,WA,48.4757,-122.3254
17990,Burien,98166-2333,WA,47.4699,-122.3485
17988,Brush Prairie,98606-7281,WA,45.7289,-122.5421
17987,Brush Prairie,98606,WA,45.7289,-122.5421
17986,Brier,98036-8489,WA,47.7845,-122.2743
17985,Bothell,98021-8040,WA,47.7599,-122.2068
17984,Bothell,98012-7472,WA,47.7599,-122.2068
17980,Bothell,98011-2347,WA,47.7599,-122.2068
17979,Bellingham,98229-9351,WA,48.7544,-122.4789
17978,Bellingham,98229-2519,WA,48.7544,-122.4789
17977,Bellingham,98229,WA,48.7544,-122.4789
17976,Bellingham,98226-9441,WA,48.7544,-122.4789
17975,Bellingham,98226-4632,WA,48.7544,-122.4789
17974,Bellingham,98225-3525,WA,48.7544,-122.4789
17973,Bellingham,98225-2728,WA,48.7544,-122.4789
17972,Bellevue,98008,WA,47.6144,-122.1923
17970,Bellevue,98005,WA,47.6144,-122.1923
17969,Bellevue,98004-8533,WA,47.6144,-122.1923
17968,Bellevue,98004-6725,WA,47.6144,-122.1923
17967,Bellevue,98004-5133,WA,47.6144,-122.1923
17966,Bellevue,98004-5058,WA,47.6144,-122.1923
17965,Battle Ground,98604-6439,WA,45.7814,-122.5337
17964,Bainbridge Island,98110-2641,WA,47.6553,-122.5351
17962,Auburn,98092-3284,WA,47.3075,-122.2302
17961,Arlington,98223-5024,WA,48.1811,-122.139
17960,Anacortes,98221-1722,WA,48.502,-122.6237
17958,Stowe,5672,VT,44.4656,-72.6849
17957,Rutland,5701,VT,43.6106,-72.9726
17956,Northfield,05663-6155,VT,44.1512,-72.6565
17955,Burlington,05408-2667,VT,44.4724,-73.2115
17954,Barre,05641-4922,VT,44.197,-72.502
17951,Yorktown,23693-4433,VIRGINIA,37.2379,-76.5081
17950,Williamsburg,23188,VA,37.2707,-76.7075
17949,Vienna,22182-3405,VA,38.9013,-77.2652
17948,Vienna,22182,VA,38.9013,-77.2652
17947,Suffolk,23434-6211,VA,36.7282,-76.5836
17946,Springfield,22152-2216,VIRGINIA,38.7891,-77.187
17942,Springfield,22150,VA,38.7891,-77.187
17941,South Hill,23970,VA,36.7265,-78.1291
17940,Roanoke City,24014,VIRGINIA,,
17939,Reston,20190,VA,38.9584,-77.358
17937,Port Haywood,23138-2096,VIRGINIA,37.386,-76.3172
17936,Manassas,20110-7942,VIRGINIA,38.7509,-77.4753
17935,Henrico,23238-3846,VA,37.65,-77.61
17934,Falls Church,22041-2508,VIRGINIA,38.8823,-77.1711
17932,Chester,23831,VA,37.3569,-77.4422
17931,Chatham,24531,VA,36.8257,-79.3981
17930,Centreville,20121,VA,38.8404,-77.4289
17929,Centreville,20120,VA,38.8404,-77.4289
17928,Hyde Park,05655-9361,VERMONT,44.5939,-72.6165
17926,Virginia Beach,23454-2613,VA,36.853,-75.9774
17925,Yorktown,23692-4087,VA,37.2379,-76.5081
17924,Wytheville,24382-1633,VA,36.948,-81.087
17923,Woodbridge,22192,va,38.6582,-77.2497
17921,Wirtz,24184-3899,VA,37.0765,-79.8895
17920,Windsor,23487-8912,VA,36.8085,-76.7441
