Transaction Date,Customer ID,Description,Stock Code,Invoice No,Quantity,Sales,Unit Price
2020-12-01 08:26:00,17850,Dog And Puppy Pads,85123A,536365.0,1.0,15.3,15.3
2020-12-01 08:34:00,13047,Pet Odor Eliminator,84879,536367.0,6.0,60.84,10.14
2020-12-01 08:34:00,13047,Rechargeable Pet Nail Grinder,22960,536368.0,1.0,25.5,
2020-12-01 09:00:00,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536371.0,14.0,214.2,
2020-12-01 09:02:00,17850,Dog And Puppy Pads,85123A,536373.0,1.0,15.3,15.3
2020-12-01 09:32:00,15291,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536376.0,8.0,165.6,20.7
2020-12-01 09:32:00,17850,Dog And Puppy Pads,85123A,536375.0,1.0,15.3,15.3
2020-12-01 09:37:00,14688,,22386,536378.0,,23.4,11.7
2020-12-01 09:37:00,14688,Pet Grooming Brush,20725,536378.0,2.0,19.8,9.9
2020-12-01 09:41:00,15311,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536381.0,1.0,17.7,17.7
2020-12-01 09:53:00,18074,Nexgard Chew For Dogs,82484,536384.0,1.0,38.7,38.7
2020-12-01 09:56:00,17420,Rechargeable Pet Nail Grinder,22960,,1.0,,25.5
2020-12-01 09:57:00,16029,Earth Rated Dog Poop Bags,85099B,536386.0,17.0,168.3,9.9
2020-12-01 09:58:00,16029,Probiotic Supplements For Dogs,79321,536387.0,32.0,733.44,22.92
2020-12-01 10:19:00,17511,Dog And Puppy Pads,85123A,536390.0,11.0,168.3,15.3
2020-12-01 10:19:00,17511,Earth Rated Dog Poop Bags,85099B,536390.0,17.0,168.3,9.9
2020-12-01 10:19:00,17511,Rechargeable Pet Nail Grinder,22960,536390.0,2.0,45.0,22.5
2020-12-01 10:19:00,17511,Sheba Perfect Portions Pat Wet Cat Food,,536390.0,17.0,73.44,4.32
2020-12-01 10:29:00,13705,Indoor Pet Camera (Wi-Fi),,536392.0,1.0,35.7,
2020-12-01 10:29:00,13705,Pet Odor Eliminator,84879,536392.0,3.0,30.42,10.14
2020-12-01 10:39:00,13408,Dog And Puppy Pads,85123A,536394.0,6.0,91.8,15.3
2020-12-01 10:47:00,13767,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536395.0,2.0,47.4,23.7
2020-12-01 10:47:00,13767,Pet Odor Eliminator,84879,536395.0,6.0,60.84,10.14
2020-12-01 10:51:00,17850,Dog And Puppy Pads,85123A,536396.0,1.0,15.3,15.3
2020-12-01 10:52:00,,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536398.0,1.0,23.7,23.7
2020-12-01 11:21:00,15862,Dog And Puppy Pads,85123A,536401.0,1.0,17.7,17.7
2020-12-01 11:21:00,15862,Indoor Pet Camera (Wi-Fi),22502,536401.0,1.0,35.7,35.7
2020-12-01 11:21:00,15862,Pet Grooming Brush,20725,536401.0,1.0,9.9,9.9
2020-12-01 11:22:00,15513,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536402.0,7.0,107.1,15.3
2020-12-01 11:29:00,16218,Sheba Perfect Portions Pat Wet Cat Food,22197,536404.0,6.0,30.6,5.1
2020-12-01 11:33:00,17850,Dog And Puppy Pads,85123A,536406.0,2.0,30.6,15.3
2020-12-01 11:41:00,14307,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536408.0,1.0,23.7,23.7
2020-12-01 11:41:00,14307,Pet Odor Eliminator,84879,536408.0,2.0,20.28,10.14
2020-12-01 11:45:00,17908,Earth Rated Dog Poop Bags,85099B,536409.0,1.0,11.7,11.7
2020-12-01 11:49:00,17920,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536412.0,1.0,17.7,17.7
2020-12-01 11:49:00,17920,Pet Grooming Brush,20725,536412.0,1.0,9.9,9.9
2020-12-01 11:49:00,17920,Sheba Perfect Portions Pat Wet Cat Food,22197,536412.0,1.0,5.1,5.1
2020-12-01 11:57:00,12838,,22086,536415.0,1.0,17.7,17.7
2020-12-01 12:08:00,13758,Probiotic Supplements For Dogs,79321,536425.0,2.0,59.4,29.7
2020-12-01 12:22:00,14849,Pet Odor Eliminator,84879,536460.0,4.0,40.56,10.14
2020-12-01 12:23:00,14849,Rechargeable Pet Nail Grinder,22960,536466.0,1.0,,25.5
2020-12-01 12:23:00,17968,Earth Rated Dog Poop Bags,85099B,536464.0,1.0,11.7,11.7
2020-12-01 12:23:00,17968,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536464.0,1.0,17.7,17.7
2020-12-01 12:23:00,17968,Milk-Bone Marosnacks Dog Treats With Real Bone,,536464.0,1.0,11.7,11.7
2020-12-01 12:23:00,17968,Pet Odor Eliminator,84879,536464.0,2.0,20.28,10.14
2020-12-01 12:23:00,17968,Rechargeable Pet Nail Grinder,22960,,1.0,25.5,25.5
2020-12-01 12:23:00,17968,Sheba Perfect Portions Pat Wet Cat Food,22197,536464.0,1.0,5.1,5.1
2020-12-01 12:27:00,16210,Canned Cat Food,21137,536477.0,80.0,1627.2,20.34
2020-12-01 12:27:00,16210,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536477.0,3.0,197.1,65.7
2020-12-01 12:31:00,17897,Rechargeable Pet Nail Grinder,22960,536488.0,,51.0,25.5
2020-12-01 12:36:00,16552,Dog And Puppy Pads,85123A,536502.0,1.0,17.7,17.7
2020-12-01 12:36:00,16552,Pet Odor Eliminator,84879,536502.0,3.0,30.42,10.14
2020-12-01 12:36:00,16552,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536502.0,1.0,76.5,76.5
2020-12-01 12:38:00,17897,Rechargeable Pet Nail Grinder,22960,,-1.0,-25.5,25.5
,14729,Dog And Puppy Pads,,536520.0,1.0,17.7,17.7
2020-12-01 12:43:00,14729,Sheba Perfect Portions Pat Wet Cat Food,22197,536520.0,1.0,5.1,5.1
2020-12-01 12:49:00,15012,Earth Rated Dog Poop Bags,85099B,536522.0,1.0,11.7,11.7
2020-12-01 12:54:00,14078,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536525.0,1.0,76.5,76.5
2020-12-01 12:58:00,14001,Earth Rated Dog Poop Bags,85099B,536526.0,2.0,23.4,11.7
2020-12-01 13:17:00,15525,Rechargeable Pet Nail Grinder,22960,536528.0,1.0,25.5,25.5
2020-12-01 13:17:00,15525,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536528.0,1.0,76.5,76.5
,17905,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536530.0,1.0,76.5,
2020-12-01 13:23:00,15485,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536531.0,14.0,214.2,15.3
2020-12-01 13:24:00,,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536532.0,2.0,47.4,23.7
2020-12-01 13:24:00,12433,Sheba Perfect Portions Pat Wet Cat Food,22197,536532.0,12.0,61.2,5.1
2020-12-01 13:45:00,18144,Pet Odor Eliminator,84879,536536.0,14.0,141.96,10.14
2020-12-01 13:51:00,15922,Taste Of The Wild High Prairie Grain-Free Dry Dog Food 40Lb,22423,536537.0,1.0,76.5,76.5
2020-12-01 13:54:00,14594,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,,536538.0,1.0,17.7,17.7
2020-12-01 14:03:00,15165,Chomchom Pet Hair Remover - Reusable Cat And Dog Hair Remover,22114,536539.0,1.0,23.7,23.7
